['Data', 'Carro', 'Transporte', 'Nota', 'Chave']
['15/02/2022 04:00', 'VUC', '0000144289', '001677091', '35220261472205000407550010016770911280555421']
['15/02/2022 04:00', 'VUC', '0000144289', '001677092', '35220261472205000407550010016770921660358781']
['15/02/2022 04:00', 'VUC', '0000144289', '001677093', '35220261472205000407550010016770931806523452']
['15/02/2022 04:00', 'VUC', '0000144289', '001677094', '35220261472205000407550010016770941834846233']
['15/02/2022 04:00', 'VUC', '0000144289', '001677090', '35220261472205000407550010016770901058041940']
['15/02/2022 04:00', 'VUC', '0000144290', '001676868', '35220261472205000407550010016768681109312545']
['15/02/2022 04:00', 'VUC', '0000144290', '001676869', '35220261472205000407550010016768691843546901']
['15/02/2022 04:00', 'VUC', '0000144290', '001676870', '35220261472205000407550010016768701549601284']
['15/02/2022 04:00', 'VUC', '0000144290', '001676871', '35220261472205000407550010016768711715581699']
['15/02/2022 04:00', 'VUC', '0000144290', '001676872', '35220261472205000407550010016768721363472780']
['15/02/2022 04:00', 'VUC', '0000144290', '001676873', '35220261472205000407550010016768731081565436']
['15/02/2022 04:00', 'VUC', '0000144290', '001676867', '35220261472205000407550010016768671878012356']
['15/02/2022 04:00', 'VUC', '0000144291', '001676915', '35220261472205000407550010016769151213113229']
['15/02/2022 04:00', 'VUC', '0000144291', '001676921', '35220261472205000407550010016769211927167920']
['15/02/2022 04:00', 'VUC', '0000144291', '001676916', '35220261472205000407550010016769161732862394']
['15/02/2022 04:00', 'VUC', '0000144291', '001676922', '35220261472205000407550010016769221328132204']
['15/02/2022 04:00', 'VUC', '0000144291', '001676917', '35220261472205000407550010016769171371466224']
['15/02/2022 04:00', 'VUC', '0000144291', '001676923', '35220261472205000407550010016769231625509288']
['15/02/2022 04:00', 'VUC', '0000144291', '001676924', '35220261472205000407550010016769241400367548']
['15/02/2022 04:00', 'VUC', '0000144291', '001676918', '35220261472205000407550010016769181048143220']
['15/02/2022 04:00', 'VUC', '0000144291', '001676925', '35220261472205000407550010016769251136112282']
['15/02/2022 04:00', 'VUC', '0000144291', '001676919', '35220261472205000407550010016769191087108968']
['15/02/2022 04:00', 'VUC', '0000144291', '001676926', '35220261472205000407550010016769261492553402']
['15/02/2022 04:00', 'VUC', '0000144291', '001676920', '35220261472205000407550010016769201520095201']
['15/02/2022 04:00', 'VUC', '0000144291', '001676927', '35220261472205000407550010016769271336177005']
['15/02/2022 04:00', 'VUC', '0000144291', '001676914', '35220261472205000407550010016769141293862102']
['15/02/2022 04:00', 'VUC', '0000144291', '001676913', '35220261472205000407550010016769131892130780']
['15/02/2022 04:00', 'VUC', '0000144292', '001676939', '35220261472205000407550010016769391846371564']
['15/02/2022 04:00', 'VUC', '0000144292', '001676940', '35220261472205000407550010016769401652430639']
['15/02/2022 04:00', 'VUC', '0000144292', '001676946', '35220261472205000407550010016769461315671081']
['15/02/2022 04:00', 'VUC', '0000144292', '001676941', '35220261472205000407550010016769411233849085']
['15/02/2022 04:00', 'VUC', '0000144292', '001676947', '35220261472205000407550010016769471979247076']
['15/02/2022 04:00', 'VUC', '0000144292', '001676942', '35220261472205000407550010016769421277030240']
['15/02/2022 04:00', 'VUC', '0000144292', '001676948', '35220261472205000407550010016769481306974187']
['15/02/2022 04:00', 'VUC', '0000144292', '001676943', '35220261472205000407550010016769431412012966']
['15/02/2022 04:00', 'VUC', '0000144292', '001676949', '35220261472205000407550010016769491669103020']
['15/02/2022 04:00', 'VUC', '0000144292', '001676944', '35220261472205000407550010016769441884193880']
['15/02/2022 04:00', 'VUC', '0000144292', '001676950', '35220261472205000407550010016769501302356002']
['15/02/2022 04:00', 'VUC', '0000144292', '001676945', '35220261472205000407550010016769451132350424']
['15/02/2022 04:00', 'VUC', '0000144292', '001676951', '35220261472205000407550010016769511860877873']
['15/02/2022 04:00', 'VUC', '0000144292', '001676938', '35220261472205000407550010016769381260751648']
['15/02/2022 04:00', 'VUC', '0000144292', '001676937', '35220261472205000407550010016769371899871630']
['15/02/2022 04:00', 'VUC', '0000144293', '001676953', '35220261472205000407550010016769531425513922']
['15/02/2022 04:00', 'VUC', '0000144293', '001676954', '35220261472205000407550010016769541512637163']
['15/02/2022 04:00', 'VUC', '0000144293', '001676955', '35220261472205000407550010016769551993537843']
['15/02/2022 04:00', 'VUC', '0000144293', '001676956', '35220261472205000407550010016769561090324378']
['15/02/2022 04:00', 'VUC', '0000144293', '001676957', '35220261472205000407550010016769571920265821']
['15/02/2022 04:00', 'VUC', '0000144293', '001676958', '35220261472205000407550010016769581810225628']
['15/02/2022 04:00', 'VUC', '0000144293', '001676952', '35220261472205000407550010016769521913410289']
['15/02/2022 04:00', 'VUC', '0000144294', '001676961', '35220261472205000407550010016769611680445920']
['15/02/2022 04:00', 'VUC', '0000144294', '001676962', '35220261472205000407550010016769621690594020']
['15/02/2022 04:00', 'VUC', '0000144294', '001676967', '35220261472205000407550010016769671241760752']
['15/02/2022 04:00', 'VUC', '0000144294', '001676963', '35220261472205000407550010016769631668175859']
['15/02/2022 04:00', 'VUC', '0000144294', '001676968', '35220261472205000407550010016769681740412722']
['15/02/2022 04:00', 'VUC', '0000144294', '001676969', '35220261472205000407550010016769691516297262']
['15/02/2022 04:00', 'VUC', '0000144294', '001676964', '35220261472205000407550010016769641903167188']
['15/02/2022 04:00', 'VUC', '0000144294', '001676970', '35220261472205000407550010016769701321602016']
['15/02/2022 04:00', 'VUC', '0000144294', '001676965', '35220261472205000407550010016769651054601803']
['15/02/2022 04:00', 'VUC', '0000144294', '001676971', '35220261472205000407550010016769711136902006']
['15/02/2022 04:00', 'VUC', '0000144294', '001676966', '35220261472205000407550010016769661755846745']
['15/02/2022 04:00', 'VUC', '0000144294', '001676972', '35220261472205000407550010016769721641208089']
['15/02/2022 04:00', 'VUC', '0000144294', '001676960', '35220261472205000407550010016769601226945827']
['15/02/2022 04:00', 'VUC', '0000144294', '001676959', '35220261472205000407550010016769591913927398']
['15/02/2022 04:00', 'VUC', '0000144295', '001676974', '35220261472205000407550010016769741196221856']
['15/02/2022 04:00', 'VUC', '0000144295', '001676975', '35220261472205000407550010016769751926718850']
['15/02/2022 04:00', 'VUC', '0000144295', '001676976', '35220261472205000407550010016769761105255897']
['15/02/2022 04:00', 'VUC', '0000144295', '001676977', '35220261472205000407550010016769771826977867']
['15/02/2022 04:00', 'VUC', '0000144295', '001676978', '35220261472205000407550010016769781436889804']
['15/02/2022 04:00', 'VUC', '0000144295', '001676979', '35220261472205000407550010016769791120132778']
['15/02/2022 04:00', 'VUC', '0000144295', '001676973', '35220261472205000407550010016769731922530070']
['15/02/2022 04:00', 'VUC', '0000144296', '001676981', '35220261472205000407550010016769811615531837']
['15/02/2022 04:00', 'VUC', '0000144296', '001676982', '35220261472205000407550010016769821907416660']
['15/02/2022 04:00', 'VUC', '0000144296', '001676983', '35220261472205000407550010016769831048391078']
['15/02/2022 04:00', 'VUC', '0000144296', '001676984', '35220261472205000407550010016769841767103279']
['15/02/2022 04:00', 'VUC', '0000144296', '001676985', '35220261472205000407550010016769851817357535']
['15/02/2022 04:00', 'VUC', '0000144296', '001676986', '35220261472205000407550010016769861979338240']
['15/02/2022 04:00', 'VUC', '0000144296', '001676987', '35220261472205000407550010016769871442803710']
['15/02/2022 04:00', 'VUC', '0000144296', '001676980', '35220261472205000407550010016769801922937485']
['15/02/2022 04:00', 'VUC', '0000144297', '001676989', '35220261472205000407550010016769891526141411']
['15/02/2022 04:00', 'VUC', '0000144297', '001676990', '35220261472205000407550010016769901842971403']
['15/02/2022 04:00', 'VUC', '0000144297', '001676991', '35220261472205000407550010016769911817996101']
['15/02/2022 04:00', 'VUC', '0000144297', '001676992', '35220261472205000407550010016769921955733642']
['15/02/2022 04:00', 'VUC', '0000144297', '001676993', '35220261472205000407550010016769931829525642']
['15/02/2022 04:00', 'VUC', '0000144297', '001676994', '35220261472205000407550010016769941905191760']
['15/02/2022 04:00', 'VUC', '0000144297', '001676995', '35220261472205000407550010016769951310705446']
['15/02/2022 04:00', 'VUC', '0000144297', '001676988', '35220261472205000407550010016769881923485926']
['15/02/2022 04:00', 'VUC', '0000144298', '001676997', '35220261472205000407550010016769971391012734']
['15/02/2022 04:00', 'VUC', '0000144298', '001676998', '35220261472205000407550010016769981547527539']
['15/02/2022 04:00', 'VUC', '0000144298', '001676999', '35220261472205000407550010016769991150296380']
['15/02/2022 04:00', 'VUC', '0000144298', '001677000', '35220261472205000407550010016770001096595055']
['15/02/2022 04:00', 'VUC', '0000144298', '001677001', '35220261472205000407550010016770011943652708']
['15/02/2022 04:00', 'VUC', '0000144298', '001677002', '35220261472205000407550010016770021770499315']
['15/02/2022 04:00', 'VUC', '0000144298', '001676996', '35220261472205000407550010016769961933780949']
['15/02/2022 04:00', 'VUC', '0000144299', '001677036', '35220261472205000407550010016770361115287023']
['15/02/2022 04:00', 'VUC', '0000144299', '001677037', '35220261472205000407550010016770371931426638']
['15/02/2022 04:00', 'VUC', '0000144299', '001677038', '35220261472205000407550010016770381943304823']
['15/02/2022 04:00', 'VUC', '0000144299', '001677039', '35220261472205000407550010016770391357423516']
['15/02/2022 04:00', 'VUC', '0000144299', '001677040', '35220261472205000407550010016770401959485561']
['15/02/2022 04:00', 'VUC', '0000144299', '001677041', '35220261472205000407550010016770411337545320']
['15/02/2022 04:00', 'VUC', '0000144299', '001677042', '35220261472205000407550010016770421137262942']
['15/02/2022 04:00', 'VUC', '0000144299', '001677035', '35220261472205000407550010016770351958962200']
['15/02/2022 04:00', 'VUC', '0000144300', '001677005', '35220261472205000407550010016770051205999042']
['15/02/2022 04:00', 'VUC', '0000144300', '001677011', '35220261472205000407550010016770111195622925']
['15/02/2022 04:00', 'VUC', '0000144300', '001677006', '35220261472205000407550010016770061941456746']
['15/02/2022 04:00', 'VUC', '0000144300', '001677012', '35220261472205000407550010016770121618362244']
['15/02/2022 04:00', 'VUC', '0000144300', '001677007', '35220261472205000407550010016770071979872299']
['15/02/2022 04:00', 'VUC', '0000144300', '001677013', '35220261472205000407550010016770131397445166']
['15/02/2022 04:00', 'VUC', '0000144300', '001677014', '35220261472205000407550010016770141457024150']
['15/02/2022 04:00', 'VUC', '0000144300', '001677008', '35220261472205000407550010016770081384960989']
['15/02/2022 04:00', 'VUC', '0000144300', '001677015', '35220261472205000407550010016770151182307685']
['15/02/2022 04:00', 'VUC', '0000144300', '001677009', '35220261472205000407550010016770091258972393']
['15/02/2022 04:00', 'VUC', '0000144300', '001677016', '35220261472205000407550010016770161488961550']
['15/02/2022 04:00', 'VUC', '0000144300', '001677010', '35220261472205000407550010016770101100982093']
['15/02/2022 04:00', 'VUC', '0000144300', '001677017', '35220261472205000407550010016770171601601670']
['15/02/2022 04:00', 'VUC', '0000144300', '001677004', '35220261472205000407550010016770041363370628']
['15/02/2022 04:00', 'VUC', '0000144300', '001677003', '35220261472205000407550010016770031936930565']
['15/02/2022 04:00', 'VUC', '0000144301', '001677020', '35220261472205000407550010016770201716905546']
['15/02/2022 04:00', 'VUC', '0000144301', '001677021', '35220261472205000407550010016770211460035537']
['15/02/2022 04:00', 'VUC', '0000144301', '001677022', '35220261472205000407550010016770221851261761']
['15/02/2022 04:00', 'VUC', '0000144301', '001677023', '35220261472205000407550010016770231767419322']
['15/02/2022 04:00', 'VUC', '0000144301', '001677024', '35220261472205000407550010016770241087346341']
